"id","regtime(in unixtime)","country","device","app_language","user_language"
"04653e746f7dd029dc49a333af1834ec","1472342941","US","samsung SM-T110","en","en_US"
"05818900461ecb0ac5a8a240d46e8217","1472594279","GB","LENOVO YOGA Tablet 2-830F","en","en_GB"
"05990824b43207b0748a347360bf9604","1472262601","US","samsung SM-G930T","en","en_US"
"08b9f9e4da31b93308dfea7d82b7a828","1472511718","US","samsung SAMSUNG-SM-G935A","en","en_US"
"0bc24b604e88250410271f8d3a28542c","1472342452","US","samsung SM-T377R4","en","en_US"
"074f7b3527eb5c6c53729cd56e7bbc8a","1472355392","US","Alco RCT6303W87DK","en","en_US"
"0707a6c066782e7a60e6e145f2359fc8","1472424959","US","LGE LGL52VL","en","en_US"
"074c55bdec47bcbbe137416cfce2858d","1472654339","BR","samsung SM-J700M","en","pt_BR"
"06cf9edacca456054b3d7a90a51d42f9","1472452018","GB","samsung SM-J500FN","en","en_GB"
"28f4f79a5439435f63d9453d969d73bf","1472441099","US","LGE LG-K330","en","en_US"
"39979730884367513","1472176169","US","samsung SM-N910P","en","en_US"
"7800c22fe68fb9786808dcc8405ba2d5","1472178842","CA","LGE LG-K121","en","en_CA"
"b483dbe078b2d690dd841738f0bb2686","1472588519","US","samsung SM-N930V","en","en_US"
"c6f848718c5529347d76c909dbdfab87","1472619597","US","LGE LGLS991","en","en_US"
"10158897590023207","1470017306","CA","samsung SM-T210R","en","en_CA"
"19059039131673649","1471370988","DE","HTC HTC One M9","de","de_DE"
"16969554074809452","1471443823","FR","samsung SM-T550","fr","fr_FR"
"23539052082136075","1470065551","US","samsung SAMSUNG-SM-T337A","en","en_US"
"34901463709848587","1471377647","US","LGE LGMS330","en","en_US"
"36325169239368891","1470591981","SE","samsung SM-G920F","en","sv_SE"
"42369079194870797","1470529199","US","samsung SM-G930T","en","en_US"
"39983236633261308","1470904269","DE","HTC HTC Desire 526G dual sim","de","de_DE"
"44295404899058779","1470948972","US","samsung SM-T560NU","en","en_US"
"44800649388348566","1471425365","ES","Sony C2105","en","es_ES"
"44893099407246448","1471052949","DE","Sony D5103","de","de_DE"
"4d3e671468736eea70a2c24fa541b8b4","1471622010","TR","samsung SM-G925F","de","de_DE"
"52016373497464020","1471635329","FR","WIKO SUNSET2","fr","fr_FR"
"5914220772467779","1471284459","DE","samsung SM-A500FU","de","de_DE"
"47815548663514320","1470406361","FR","WIKO RAINBOW","fr","fr_FR"
"60000458844415056","1470941628","DE","motorola XT1039","de","de_DE"
"52171463622181938","1470442626","US","LENOVO Lenovo TAB 2 A10-70F","en","en_US"
"53195006752494669","1470763490","SE","samsung SM-T535","en","sv_SE"
"59626079959647401","1470612674","US","samsung SAMSUNG-SM-G530A","en","en_US"
"62631418104656943","1470049959","US","LGE LGLK430","en","en_US"
"964295167779993","1471522657","IT","samsung SM-T535","en","it_IT"
"69826219275592900","1470246172","DE","WIKO LENNY","de","de_DE"
"7223642224317474","1470271609","US","Alco RCT6773W42B","en","en_US"
"9863223c40eed5f1165391dfd8ce6dcc","1472091002","BR","samsung SM-T520","en","pt_BR"
"a8e1766816b580abcf549f05334c3fb8","1471648748","GB","samsung SM-G935F","en","en_GB"
"850d4fb04d81ff9c95ab8b23816e21be","1472392982","PL","samsung SM-G531F","en","pl_PL"
"71795149552223383","1471472055","FR","asus K01E","fr","fr_FR"
"de3c69ab741ea7db6a33459bc1d93c9d","1471699506","US","HTC 0PM92","en","en_US"
"ed20638cba7c5584d5928d8cd117e62c","1472205061","DE","samsung SM-G850F","de","de_DE"
"f5c527adef481bed19c43eaedf9c8d47","1471899905","FR","Acer B3-A20","fr","fr_FR"
"00990843ceae2bf5b9c41978bf0babd4","1472241061","DE","samsung SM-G900F","de","de_DE"
"0156db27c9fa55620383aa50898f85d6","1472327101","ES","samsung SM-N910F","en","es_ES"
"016fc89677bac66a056a61b2e333f5ab","1472669038","FR","HTC HTC Desire 820","fr","fr_FR"
"0245b5837115b120c95fce7c288cf765","1472685836","BR","motorola XT1033","en","pt_BR"
"01d45becf3b7816e980113dc537dc118","1472453940","AT","Sony D5803","de","de_AT"
"01f9cb8cbf7fb38f0c3e486cd9bb66a8","1472382362","RO","TCL 4034D","en","ro_RO"
"0305c937238f9a70f7d2053c8a53b1f8","1472320262","SE","Sony E2303","en","fa_IR"
"03a516142b6ce8550de02a72bfee224b","1472210282","RO","samsung SM-G925F","en","ro_RO"
"03b8bb08cd055962028aba4890da4041","1472182443","US","samsung SGH-T399","en","es_US"
"029d71189d62b97c39a7230565564c75","1472530918","US","Vortex Pulse","en","en_US"
"0695edb409f762be59fece7023ebe4df","1472266621","US","samsung SM-G930P","en","en_US"
"0730d64110c22c4552123836f5c081e9","1472419619","US","LGE LGUS375","en","en_US"
"083519ad82bf61e3751a5ead6b3fa52e","1472174223","GB","Sony D6603","en","lt_LT"
"09114e4288e90e49088b4b128685f765","1472301660","BR","samsung SM-J700M","en","pt_BR"
"0aecd9c7c0c0a7faf80967b548bc4020","1472681757","GB","asus ME371MG","en","en_GB"
"0c634016f5e943783affcdbfbc112f9e","1472422799","GB","samsung GT-I9300","en","en_GB"
"0eac9a330c76608198271864778a5a5c","1472172125","GB","Vodafone VFD 200","en","en_GB"
"0f114959dd9c57f0da91ee785c5c55c2","1472236262","DE","samsung GT-I9300","de","de_DE"
"0f70845dc00384deb43eaf5e2fdae43a","1472252223","CA","motorola XT1064","en","en_CA"
